Date (UTC),Timestamp (UTC),January 31,March 31,December 31,"December 31, 2025"
09-07-2025 00:00,1757203212,,,,0.175
09-08-2025 00:00,1757289608,,,,0.09
09-09-2025 00:00,1757376004,,,,0.09
09-10-2025 00:00,1757462408,,,,0.105
09-11-2025 00:00,1757548812,,,,0.095
09-12-2025 00:00,1757635224,,,,0.085
09-13-2025 00:00,1757721604,,,,0.085
09-14-2025 00:00,1757808009,,,,0.085
09-15-2025 00:00,1757894405,,,,0.085
09-16-2025 00:00,1757980811,,,,0.085
09-17-2025 00:00,1758067210,,,,0.08
09-18-2025 00:00,1758153613,,,,0.075
09-19-2025 00:00,1758240013,,,,0.075
09-20-2025 00:00,1758326408,,,,0.075
09-21-2025 00:00,1758412806,,,,0.075
09-22-2025 00:00,1758499215,,,,0.075
09-23-2025 00:00,1758585608,,,,0.065
09-24-2025 00:00,1758672006,,,,0.06
09-25-2025 00:00,1758758407,,,,0.065
09-26-2025 00:00,1758844804,,,,0.065
09-27-2025 00:00,1758931206,,,,0.065
09-28-2025 00:00,1759017612,,,,0.055
09-29-2025 00:00,1759104007,,,,0.06
09-30-2025 00:00,1759190408,,,,0.07
10-01-2025 00:00,1759276805,,,,0.075
10-02-2025 00:00,1759363209,,,,0.075
10-03-2025 00:00,1759449605,,,,0.09
10-04-2025 00:00,1759536005,,,,0.115
10-05-2025 00:00,1759622404,,,,0.095
10-06-2025 00:00,1759708809,,,,0.12
10-07-2025 00:00,1759795205,,,,0.08
10-08-2025 00:00,1759881608,,,,0.095
10-09-2025 00:00,1759968013,,,,0.09
10-10-2025 00:00,1760054405,,,,0.135
10-11-2025 00:00,1760140814,,,,0.16
10-12-2025 00:00,1760227204,,,,0.105
10-13-2025 00:00,1760313616,,,,0.115
10-14-2025 00:00,1760400016,,,,0.105
10-15-2025 00:00,1760486412,,,,0.105
10-16-2025 00:00,1760572821,,,,0.105
10-17-2025 00:00,1760659214,,,,0.125
10-18-2025 00:00,1760745610,,,,0.135
10-19-2025 00:00,1760832012,,,,0.15
10-20-2025 00:00,1760918417,,,,0.125
10-21-2025 00:00,1761004807,,,,0.095
10-22-2025 00:00,1761091210,,,,0.085
10-23-2025 00:00,1761177607,,,,0.09
10-24-2025 00:00,1761264008,,,,0.11
10-25-2025 00:00,1761350409,,,,0.165
10-26-2025 00:00,1761436809,,,,0.125
10-27-2025 00:00,1761523209,,,,0.13
10-28-2025 00:00,1761609611,,,,0.12
10-29-2025 00:00,1761696010,,,,0.13
10-30-2025 00:00,1761782410,,,,0.125
10-31-2025 00:00,1761868807,,,,0.125
11-01-2025 00:00,1761955209,,,,0.145
11-02-2025 00:00,1762041608,,,,0.13
11-03-2025 00:00,1762128008,,,,0.12
11-04-2025 00:00,1762214409,,,,0.125
11-05-2025 00:00,1762300808,,0.165,,0.115
11-06-2025 00:00,1762387206,,0.195,,0.095
11-07-2025 00:00,1762473608,,0.165,,0.065
11-08-2025 00:00,1762560007,,0.155,,0.065
11-09-2025 00:00,1762646421,,0.155,,0.065
11-10-2025 00:00,1762732807,,0.145,,0.065
11-11-2025 00:00,1762819210,,0.13,,0.075
11-12-2025 00:00,1762905610,,0.135,,0.065
11-13-2025 00:00,1762992009,,0.15,,0.07
11-14-2025 00:00,1763078409,,0.18,,0.07
11-15-2025 00:00,1763164810,,0.155,,0.085
11-16-2025 00:00,1763251208,,0.165,,0.085
11-17-2025 00:00,1763337609,,0.165,,0.055
11-18-2025 00:00,1763424008,,0.15,,0.06
11-19-2025 00:00,1763510410,,0.155,,0.061
11-20-2025 00:00,1763596808,,0.15,,0.063
11-21-2025 00:00,1763683210,,0.14,,0.063
11-22-2025 00:00,1763769609,,0.145,,0.066
11-23-2025 00:00,1763856009,,0.145,,0.086
11-24-2025 00:00,1763942411,,0.14,,0.0945
11-25-2025 00:00,1764028809,,0.155,,0.092
11-26-2025 00:00,1764115209,,0.155,,0.0715
11-27-2025 00:00,1764201611,,0.175,,0.0685
11-28-2025 00:00,1764288011,,0.145,,0.079
11-29-2025 00:00,1764374413,,0.135,,0.0635
11-30-2025 00:00,1764460810,,0.15,,0.088
12-01-2025 00:00,1764547210,,0.175,,0.076
12-02-2025 00:00,1764633608,,0.18,,0.0755
12-03-2025 00:00,1764720011,,0.185,,0.0625
12-04-2025 00:00,1764806409,,0.18,,0.0605
12-05-2025 00:00,1764892810,,0.19,,0.0575
12-06-2025 00:00,1764979211,,0.17,,0.0655
12-07-2025 00:00,1765065623,,0.155,,0.0475
12-08-2025 00:00,1765152022,,0.145,,0.051
12-09-2025 00:00,1765238420,,0.145,,0.059
12-10-2025 00:00,1765324810,,0.14,,0.0345
12-11-2025 00:00,1765411210,,0.125,,0.0295
12-12-2025 00:00,1765497609,,0.135,,0.038
12-13-2025 00:00,1765584011,,0.155,,0.0375
12-14-2025 00:00,1765670411,,0.155,,0.038
12-15-2025 00:00,1765756811,,0.145,,0.0225
12-16-2025 00:00,1765843209,,0.15,,0.0215
12-17-2025 00:00,1765929606,,0.13,,0.042
12-18-2025 00:00,1766016018,0.145,0.185,,0.05
12-19-2025 00:00,1766102407,0.095,0.15,,0.0465
12-20-2025 00:00,1766188807,0.11,0.145,,0.0345
12-21-2025 00:00,1766275207,0.075,0.14,,0.026
12-22-2025 00:00,1766361606,0.08,0.145,,0.018
12-23-2025 00:00,1766448007,0.085,0.13,,0.0295
12-24-2025 00:00,1766534407,0.08,0.145,,0.029
12-25-2025 00:00,1766620817,0.09,0.155,,0.026
12-26-2025 00:00,1766707206,0.075,0.155,,0.0265
12-27-2025 00:00,1766793609,0.07,0.15,,0.0195
12-28-2025 00:00,1766880008,0.065,0.145,,0.011
12-29-2025 00:00,1766966424,0.055,0.145,,0.007
12-30-2025 00:00,1767052811,0.06,0.14,,0.0065
12-31-2025 00:00,1767139208,0.045,0.14,,0.0055
01-01-2026 00:00,1767225608,0.055,0.135,,0.001
01-02-2026 00:00,1767312008,0.054,0.095,,
01-03-2026 00:00,1767398408,0.0215,0.075,,
01-04-2026 00:00,1767484808,0.2565,0.33,,
01-05-2026 00:00,1767571208,0.0825,0.155,0.245,
01-06-2026 00:00,1767657612,0.0545,0.125,0.225,
01-07-2026 00:00,1767744009,0.0445,0.125,0.24,
01-07-2026 11:36,1767785767,0.0435,0.11,0.235,
